Order ID,AWB Code,Customer Pincode,Type of Shipment,Forward Charges Applicable,RTO Charges Applicable,Total weight as per X (KG),Weight slab as per X (KG),Delivery Zone as per X,Forward Fixed  Charges (X),Forward Additional Charges (X),RTO Fixed  Charges (X),RTO Additional Charges (X),Expected Charge as per X (Rs.),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone charged by Courier Company,Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),Discount Applied (%),Net Forward Charges (Rs.),Net RTO Charges (Rs.)
2001810697,1091117807140,324008,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,2.27,2.5,d,224.6,-163.3,-266.4%,61.3,0
2001811039,1091117904860,302020,Forward charges,Yes,0,0.488,0.5,b,33.0,0,0,0,33.0,0.68,1,d,90.2,-57.2,-173.3%,33.0,0
2001811058,1091117905022,302018,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.72,1,d,90.2,-57.2,-173.3%,33.0,0
2001811306,1091117958163,302017,Forward charges,Yes,0,0.945,1,b,33.0,28.3,0,0,61.3,1.1,1.5,d,135,-73.7,-120.2%,61.3,0
2001812195,1091118442390,302012,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.67,1,d,90.2,-57.2,-173.3%,33.0,0
2001812941,1091118551656,325207,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.73,1,d,90.2,-57.2,-173.3%,33.0,0
2001809383,1091117614452,303702,Forward and RTO charges,Yes,1,0.607,1,b,33.0,28.3,20.5,28.3,110.1,0.5,0.5,d,86.7,23.4,21.3%,61.3,48.8
2001820978,1091120922803,313301,Forward charges,Yes,0,0.515,1,b,33.0,28.3,0,0,61.3,0.5,0.5,d,45.4,15.9,25.9%,61.3,0
2001811475,1091121844806,173212,Forward charges,Yes,0,0.689,1,e,56.6,55.5,0,0,112.1,0.5,0.5,b,33,79.1,70.6%,112.1,0
2001811305,1091121846136,302020,Forward charges,Yes,0,0.75,1,b,33.0,28.3,0,0,61.3,0.5,0.5,d,45.4,15.9,25.9%,61.3,0
